"replicate","direct","indirect_IC","indirect_PS","total","IC_to_Tol","PS_to_Tol","IB_to_Tol","TC_to_Tol","interaction","interaction_f2","failure"
86,-0.11920654072993,-0.0320638538617796,0.0304246184279449,-0.120845776163765,-0.350599118877017,0.0986344771779742,0.137193953917616,0.0601234832057861,0.0421658256804803,0.00048172606424493,""
87,-0.15160904119746,-0.0156305737115665,0.0294644012722351,-0.137775213636791,-0.390846672287768,0.0768799928658988,0.177741371234638,0.0869921755048988,0.0187886556448234,9.90891418700959e-05,""
88,-0.160077685062247,0.000613166031479811,0.0225634170456324,-0.136901101985134,-0.350667894222439,0.065411333603265,0.181449125066996,0.0187659202503529,0.155063052092085,0.00724653954124422,""
89,-0.125159651571505,-0.0278741797364349,-0.00472762787528241,-0.157761459183222,-0.496513537044615,-0.0143076007621381,0.126591974549144,0.0979130594048107,0.150698208665801,0.00646404665715454,""
90,-0.192682227658175,-0.00477079908483615,0.00385388354047959,-0.193599143202532,-0.291694690137032,0.0113129406218959,0.234448148094769,-0.00518402580661214,-0.0831725169499961,0.00199585081056644,""
91,-0.1185177980351,-0.0362523449396955,0.0381298454459975,-0.116640297528798,-0.385653287266953,0.119948475467456,0.199125004383618,-0.0382727092088902,0.199972905035258,0.0117099677972717,""
92,-0.12140152261043,-0.019247125883897,0.0212691619644424,-0.119379486529885,-0.402204226848323,0.0555466766299208,0.159824815168773,0.0699045794805848,0.113397742015742,0.00367759053014083,""
93,-0.166370383422734,-0.0032946563681304,0.0276011152843594,-0.142063924506505,-0.345301983864547,0.0934233598312297,0.143132770840125,0.0323809168415034,0.136962532312554,0.0057382206270926,""
94,-0.184400604095019,-0.0319090669543327,0.0182960014656055,-0.198013669583746,-0.409129370952762,0.0500650825409617,0.174182098149978,0.0150814114779036,-0.00441962809673459,5.7977643596722e-06,""
95,-0.12844612335904,-0.0370054359534063,0.0120316637318195,-0.153419895580627,-0.416121375882058,0.0325228948927829,0.183226484729399,0.0924980080295211,0.112324796883683,0.00358548970801449,""
96,-0.0914270181065941,-0.0483346259071149,0.0291203273455042,-0.110641316668205,-0.381219838898046,0.0996966801758924,0.155550684952877,0.0367942815814716,0.252311650287126,0.0180900390643038,""
97,-0.105319065392576,-0.0709155541287812,0.0210724553251697,-0.155162164196187,-0.430456234299885,0.0581334017363938,0.200922213539529,0.0693147744310446,0.240223574354748,0.0156859916003827,""
98,-0.11760467895083,-0.0338869563586762,0.0353751225160849,-0.116116512793421,-0.38110949216841,0.114501707372884,0.182999871750849,0.0645701867243641,0.0416891701841739,0.000527578787505078,""
99,-0.189640591285639,-0.0378764098545252,0.0208642182957708,-0.206652782844393,-0.364478081372459,0.0633545057722734,0.238131026557017,0.0450232386813236,0.224976172874776,0.0167654815993685,""
100,-0.128189437012884,-0.0181620106348092,0.00876728689496343,-0.13758416075273,-0.356286067830084,0.0235816746446918,0.199433037577407,0.0466129274153111,0.111364736565309,0.00349664694281386,""
101,-0.14721374838826,-0.0253999737434128,0.016624225568932,-0.155989496562741,-0.344118024976745,0.052966902021058,0.129375125631741,0.0379969113789455,0.0320738843910765,0.000281375771366848,""
102,-0.170798032708407,-0.0287242219472215,0.0455871404038622,-0.153935114251766,-0.398344746967303,0.125982304850875,0.172149470225315,0.0399415619971861,0.160687038434541,0.00774909645609598,""
103,-0.146928518626306,-0.0287858675264658,0.0363544760078189,-0.139359910144953,-0.323042137079765,0.103888457955877,0.189989709038216,0.0276419248294911,0.113112906188724,0.00362808138604002,""
104,-0.122374200489606,-0.012835086486917,0.017361101740739,-0.117848185235784,-0.382956190862235,0.0463205304700298,0.17415647003729,-0.0255143995905035,0.0795396992919096,0.00181489552608648,""
105,-0.130817933049156,-0.0257674606076961,0.0455230189381425,-0.11106237471871,-0.388570185417036,0.132810973060783,0.189927268287774,0.0755664203614738,0.215494044529451,0.01461814821857,""
106,-0.0913225186525504,-0.00876062888903199,0.0278162700159514,-0.0722668775256309,-0.282067651891671,0.0925226580277562,0.126763192647184,-0.0601620525991717,-0.0487854799008529,0.000652098111727937,""
107,-0.127273372156138,-0.00703607589366209,0.0162279957127684,-0.118081452337031,-0.312095687731629,0.0463773537174883,0.229473212934197,-0.0206226886302486,0.061410504207939,0.00102210115073768,""
108,-0.110868085171675,-0.0383482288449979,-0.000258390445500309,-0.149474704462173,-0.393207638392462,-0.000717713084585611,0.173817304267028,0.0388572725475268,0.232108153399065,0.0144568557170458,""
109,-0.128187666789209,-0.0195770854125247,0.0239854906569584,-0.123779261544775,-0.354594713216931,0.0764760012810515,0.195721132725571,0.03969748053632,0.111753858682512,0.00372577598204008,""
